Date,Open,High,Low,Close,Adj Close,Volume
2015-06-01,26000,26020,25760,25820,250.394119,10921950
2015-06-02,26000,26060,25760,26060,252.721558,8757550
2015-06-03,26060,26320,25300,25460,246.902939,11769400
2015-06-04,26300,26820,26100,26740,259.31601,19411950
2015-06-05,26500,27100,26400,26820,260.091827,9828150
2015-06-08,26900,26940,26260,26280,254.855087,10118950
2015-06-09,26000,26200,25360,25640,248.64856,13735250
2015-06-10,25640,25880,25240,25240,244.769485,12501700
2015-06-11,25260,25480,25060,25140,243.799698,15314050
2015-06-12,25560,25740,25280,25540,247.678802,11741500
2015-06-15,25100,25480,25100,25400,246.321121,8067800
2015-06-16,25400,25480,24900,25100,243.411819,12767600
2015-06-17,25000,25320,24800,25080,243.217789,9452300
2015-06-18,25180,25580,25020,25300,245.351349,8247600
2015-06-19,25320,25560,25200,25320,245.545303,7094750
2015-06-22,25820,25920,25520,25620,248.454575,6370900
2015-06-23,26180,26560,25820,26420,256.212708,10159000
2015-06-24,26000,26220,25820,26040,252.527603,10198000
2015-06-25,25800,26060,25380,25380,246.127121,10695800
2015-06-26,25040,25800,25040,25560,247.872711,10347500
2015-06-29,25380,25700,25120,25620,258.570831,11519950
2015-06-30,25520,25700,25320,25360,255.946747,9870350
2015-07-01,25360,26040,25180,25900,261.396729,8324900
2015-07-02,25720,26080,25700,25980,262.204163,8223000
2015-07-03,25740,25880,25340,25360,255.946747,7130200
2015-07-06,25060,25200,24460,24600,248.276459,10099950
2015-07-07,24400,25180,24400,24800,250.294907,12478250
2015-07-08,24800,25020,24640,24780,250.093079,11780950
2015-07-09,24600,25300,24520,25300,255.341202,14030500
2015-07-10,25140,25320,24960,25180,254.130096,9573400
2015-07-13,25000,25440,24900,25320,255.543076,7672050
2015-07-14,25300,25400,24420,24500,247.267212,19989700
2015-07-15,24500,24760,24480,24700,249.28566,8370650
2015-07-16,24460,25740,24460,25640,258.772644,11173450
2015-07-17,26000,26220,25560,26100,263.415253,14861650
2015-07-20,25820,26080,25460,25500,257.359711,6446400
2015-07-21,25500,25540,24940,25260,254.9375,9702750
2015-07-22,24880,25200,24700,25060,252.919006,13416150
2015-07-23,24880,25060,24680,24680,249.083862,10448250
2015-07-24,24540,24760,24480,24580,248.0746,9829200
2015-07-27,24580,24940,24560,24600,248.276459,12152000
2015-07-28,24480,25020,24380,24600,248.276459,13381350
2015-07-29,25000,25500,24620,25260,254.9375,13734450
2015-07-30,25160,25200,24300,24300,245.248688,15419600
2015-07-31,24400,24440,23500,23700,239.193115,19579450
2015-08-03,23680,23680,23320,23500,237.174606,9844550
2015-08-04,23500,23740,23400,23640,238.58757,12844350
2015-08-05,23640,23640,23160,23180,233.945023,12802500
2015-08-06,23100,23120,22300,22300,225.063568,20199050
2015-08-07,22400,22740,22300,22720,229.302444,13787100
2015-08-10,22800,22840,22600,22820,230.311722,5722500
2015-08-11,23020,23580,22960,23140,233.541336,11664300
2015-08-12,23000,23280,22800,23080,232.935745,11154000
2015-08-13,23060,23060,22760,22800,230.109848,7520550
2015-08-14,22800,22800,22800,22800,230.109848,0
2015-08-17,22800,22820,22080,22080,222.843231,11360850
2015-08-18,22360,22820,22340,22620,228.293213,11583600
2015-08-19,23380,23520,22820,23080,232.935745,20070750
2015-08-20,23260,23420,22600,22780,229.90799,10805950
2015-08-21,21980,22560,21920,22020,222.237686,20442550
2015-08-24,21760,22300,20660,21580,217.796982,22429600
2015-08-25,21580,22140,21340,21580,217.796982,19625950
2015-08-26,21360,21480,21000,21340,215.374756,27947600
2015-08-27,21640,21720,21260,21340,215.374756,24769400
2015-08-28,21720,21720,21460,21620,218.200653,23111150
2015-08-31,21420,21780,21040,21780,219.815475,20415450
2015-09-01,21780,21960,21620,21700,219.008072,12018600
2015-09-02,21380,21900,21300,21800,220.017349,15634150
2015-09-03,22040,22500,21860,22440,226.476532,15200350
2015-09-04,22440,22880,22360,22580,227.889496,12570650
2015-09-07,22580,22580,22100,22240,224.458038,9590250
2015-09-08,22260,22720,22120,22620,228.293213,9116500
2015-09-09,22920,22940,22720,22940,231.522797,12968800
2015-09-10,22600,22780,22360,22680,228.898758,18128400
2015-09-11,22520,22660,22300,22300,225.063568,10208350
2015-09-14,22400,22480,22200,22480,226.880234,8353650
2015-09-15,22280,22560,22260,22460,226.678391,11647800
2015-09-16,22420,23140,22420,23040,232.532074,17188150
2015-09-17,23060,23140,22880,23140,233.541336,13698000
2015-09-18,22900,23840,22700,23800,240.202423,21813500
2015-09-21,23260,23460,23000,23000,232.128387,10267950
2015-09-22,22860,23000,22600,22900,231.119125,12533750
2015-09-23,22880,22880,22500,22620,228.293213,9882450
2015-09-24,22520,22700,22500,22520,227.283936,6636050
2015-09-25,22400,22500,22180,22240,224.458038,10458000
2015-09-30,22000,22680,21800,22680,228.898758,22946800
2015-10-01,22800,22900,22420,22680,228.898758,12052050
2015-10-02,22240,22660,22240,22380,225.871002,13715100
2015-10-05,22380,22620,22300,22300,225.063568,12096750
2015-10-06,22600,23100,22540,23020,232.330215,19149350
2015-10-07,23960,25040,23720,25020,252.515274,39975100
2015-10-08,25000,25580,25000,25400,256.350494,28533850
2015-10-12,25200,25260,24940,25200,254.33194,18948700
2015-10-13,25200,25440,24960,25040,252.717194,9900000
2015-10-14,24960,25200,24740,25080,253.120865,8752550
2015-10-15,24880,25640,24860,25380,256.148621,12425150
2015-10-16,25300,25380,25180,25300,255.341202,7198400
2015-10-19,25140,25300,24980,25120,253.524521,5853500
2015-10-20,25200,25460,25120,25320,255.543076,7517350
2015-10-21,25300,25640,25180,25400,256.350494,6978350
2015-10-22,25600,25900,25380,25600,258.368958,11533650
2015-10-23,26000,26000,25560,25780,260.185638,13153550
2015-10-26,25960,25960,25440,25840,260.791168,7608250
2015-10-27,25640,25980,25620,25960,262.002289,6612050
2015-10-28,25880,26160,25820,26160,264.020813,13565150
2015-10-29,26600,27840,26480,26500,267.452271,31523550
2015-10-30,26900,27800,26820,27440,276.939209,25469250
2015-11-02,27700,27860,27480,27660,279.159607,19327300
2015-11-03,27620,27620,27000,27040,272.902252,15092000
2015-11-04,27040,27220,26520,26600,268.461548,14053500
2015-11-05,26600,27080,26600,26840,270.883698,8652100
2015-11-06,26860,26960,26600,26760,270.076324,8216100
2015-11-09,26760,26880,26420,26880,271.287384,9283050
2015-11-10,26720,26820,26280,26420,266.644897,9877550
2015-11-11,26420,26900,26420,26660,269.067017,7022450
2015-11-12,26660,26680,26340,26340,265.837433,7870850
2015-11-13,26340,26340,26000,26000,262.406006,8883850
2015-11-16,25820,25820,25260,25260,254.9375,13785250
2015-11-17,25500,25800,25400,25400,256.350494,9309200
2015-11-18,25440,25800,25440,25620,258.570831,8386750
2015-11-19,25800,25800,25420,25780,260.185638,9642500
2015-11-20,25780,25920,25560,25700,259.378235,8436000
2015-11-23,25700,26040,25620,25640,258.772644,9941000
