,Date,Open,High,Low,Close,Volume,index,Change,change_ratio,Open_R,High_R,Low_R,Vol_R,max_10_R,min_10_R,max_20_R,min_20_R,max_55_R,min_55_R,max_60_R,min_60_R,event,order,position,buy_type,buy_price,open_profit,close_profit,winnloss,cum_profit,day20_profit,kospi close,kospi change_r
2317,2020-06-02,51000,51500,50800,51400,14247933,20200602,200.0,0.00391,-0.00390625,0.005859375,-0.0078125,-0.15937,0.0,0.05436,0.0,0.07419,0.0,0.20941,-0.11073,0.20941,1,1,1,S2,51400,0,0,1,12050,0.0,2087.18994140625,0.010709999999999999
2379,2020-08-28,56100,56300,55400,55400,14619888,20200828,-200.0,-0.0036,0.008992805755395683,0.012589928057553957,-0.0035971223021582736,-0.09735,-0.05137,0.0,-0.06102,0.0,-0.06102,0.11022,-0.06102,0.11022,1,-1,0,S2,0,0,4000,1,16050,4000.0,2353.800048828125,0.00399
2388,2020-09-10,59900,60000,59100,59200,29923293,20200910,800.0,0.0137,0.025684931506849314,0.0273972602739726,0.011986301369863013,-0.02203,0.0,0.0963,0.0,0.0963,0.0,0.14066,0.0,0.15175,1,1,1,S2,59200,0,0,1,16050,4000.0,2396.47998046875,0.0087
2419,2020-10-29,58200,58500,57500,58100,22636966,20201029,-900.0,-0.01525,-0.013559322033898305,-0.00847457627118644,-0.025423728813559324,0.56886,-0.04598,0.0,-0.04598,0.0,-0.04754,0.07593,-0.04754,0.07593,1,-1,0,S2,0,0,-1100,0,14950,-1100.0,2326.669921875,-0.00793
2428,2020-11-11,60700,61400,60400,61300,25628510,20201111,1100.0,0.018269999999999998,0.008305647840531562,0.019933554817275746,0.0033222591362126247,0.34367,0.0,0.08304,0.0,0.08304,0.0,0.13519,0.0,0.13519,1,1,1,S1,61300,0,0,0,14950,-1100.0,2485.8701171875,0.01347
2457,2020-12-22,72500,73200,72100,72300,16304910,20201222,-700.0,-0.009590000000000001,-0.00684931506849315,0.0027397260273972603,-0.012328767123287671,-0.19946,-0.02165,0.0,-0.02165,0.08559,-0.02165,0.27739,-0.02165,0.27739,1,-1,0,S1,0,0,11000,1,25950,11000.0,2733.679931640625,-0.01618
2458,2020-12-23,72400,74000,72300,73900,19411326,20201223,1600.0,0.02213,0.0013831258644536654,0.02351313969571231,0.0,0.19052,0.0,0.02213,0.0,0.10795,0.0,0.30565,0.0,0.30565,1,1,1,S2,73900,0,0,1,25950,11000.0,2759.820068359375,0.009559999999999999
2482,2021-01-29,84500,85000,82000,82000,39615978,20210129,-1700.0,-0.020309999999999998,0.009557945041816009,0.015531660692951015,-0.02031063321385902,0.24345,-0.08277,0.0,-0.0989,0.0,-0.0989,0.34426,-0.0989,0.40171,1,-1,0,S2,0,0,8100,1,34050,8100.0,2976.2099609375,-0.03025
2610,2021-08-04,82200,83100,81800,82900,25642368,20210804,1500.0,0.018430000000000002,0.009828009828009828,0.020884520884520884,0.004914004914004914,0.05354,0.0,0.05605,0.0,0.05605,0.0,0.05605,0.0,0.05605,1,1,1,S2,82900,0,0,1,34050,0.0,3280.3798828125,0.013359999999999999
2615,2021-08-11,79600,79800,78500,78500,30241137,20210811,-1700.0,-0.0212,-0.007481296758104738,-0.004987531172069825,-0.02119700748129676,0.48513,-0.05308,0.0,-0.05308,0.0,-0.05308,0.0,-0.05308,0.0,1,-1,0,S2,0,0,-4400,0,29650,-4400.0,3220.6201171875,-0.006959999999999999
2642,2021-09-23,77500,77600,76800,77400,17055590,20210923,200.0,0.00259,0.0038860103626943004,0.0051813471502590676,-0.0051813471502590676,0.04703,0.0,0.02789,0.0,0.04172,-0.06634,0.06465,-0.06634,0.06465,1,1,1,S1,77400,0,0,0,29650,0.0,3127.580078125,-0.00412
2646,2021-09-29,74800,75300,73800,74100,23992458,20210929,-2200.0,-0.02883,-0.019659239842726082,-0.01310615989515072,-0.0327653997378768,0.55731,-0.04633,0.0,-0.04633,0.0,-0.10615,0.01926,-0.10615,0.01926,1,-1,0,S1,0,0,-3300,0,26350,-3300.0,3060.27001953125,-0.01215
2682,2021-11-22,73300,75200,73000,74900,27506623,20211122,3700.0,0.05197,0.02949438202247191,0.056179775280898875,0.025280898876404494,1.3009,0.0,0.07153,0.0,0.07307,-0.03604,0.08866,-0.03604,0.08866,1,1,1,S1,74900,0,0,0,26350,0.0,3013.25,0.014209999999999999
2710,2021-12-30,78900,79500,78100,78300,13917103,20211230,-500.0,-0.00635,0.0012690355329949238,0.008883248730964468,-0.008883248730964468,-0.29693,-0.02733,0.01556,-0.02733,0.03571,-0.02733,0.12178,-0.02733,0.13808,0,0,1,S1,74900,3400,0,0,29750,3400.0,2977.64990234375,-0.005229999999999999
